Literal,row_count,unique_codes,unique_y_categories,codes,y_categories,is_duplicate_literal,same_literal_multiple_codes,same_literal_multiple_y_categories
31 + 2 semanas,1,1,1,Z3A31,Z,False,False,False
31 sem,1,1,1,Z3A31,Z,False,False,False
31+4 semanas,1,1,1,Z3A31,Z,False,False,False
31+5 semanas,1,1,1,Z3A31,Z,False,False,False
32,1,1,1,Z3A32,Z,False,False,False
32 sem,1,1,1,Z3A32,Z,False,False,False
32 semanas,1,1,1,Z3A32,Z,False,False,False
32+ 5 semanas,1,1,1,Z3A32,Z,False,False,False
32+4 semanas,1,1,1,Z3A32,Z,False,False,False
33 semanas,1,1,1,Z3A33,Z,False,False,False
33+ 1 semanas,1,1,1,Z3A33,Z,False,False,False
33+1 semanas,1,1,1,Z3A33,Z,False,False,False
33+3 semanas,1,1,1,Z3A33,Z,False,False,False
33+3 semans,1,1,1,Z3A33,Z,False,False,False
33.2 semanas,1,1,1,Z3A33,Z,False,False,False
34 sem,1,1,1,Z3A34,Z,False,False,False
34 semanas,1,1,1,Z3A34,Z,False,False,False
34+0 semanas,1,1,1,Z3A34,Z,False,False,False
34+1 semana,1,1,1,Z3A34,Z,False,False,False
34+3 semanas,1,1,1,Z3A34,Z,False,False,False
34+4 seemanas,1,1,1,Z3A34,Z,False,False,False
34+5 sem,1,1,1,Z3A34,Z,False,False,False
34+5 semanas,1,1,1,Z3A34,Z,False,False,False
35,1,1,1,Z3A35,Z,False,False,False
35+4 semanas,1,1,1,Z3A35,Z,False,False,False
35+6 semanas,1,1,1,Z3A35,Z,False,False,False
356.2,1,1,1,G600,G,False,False,False
36 + 4 semanas,1,1,1,Z3A36,Z,False,False,False
36 SEM,1,1,1,Z3A36,Z,False,False,False
36 sem,1,1,1,Z3A36,Z,False,False,False
36+1 semanas,1,1,1,Z3A36,Z,False,False,False
36+2 semanas,1,1,1,Z3A36,Z,False,False,False
36+2 semanasa,1,1,1,Z3A36,Z,False,False,False
36+3 semanas,1,1,1,Z3A36,Z,False,False,False
36+4 semanas,1,1,1,Z3A36,Z,False,False,False
36+5 semanas,1,1,1,Z3A36,Z,False,False,False
36.2 semanas,1,1,1,Z3A36,Z,False,False,False
37 sem,1,1,1,Z3A37,Z,False,False,False
37+0 semanas,1,1,1,Z3A37,Z,False,False,False
37+1 semanas,1,1,1,Z3A37,Z,False,False,False
37+2 semanas,1,1,1,Z3A37,Z,False,False,False
37+3 semanas,1,1,1,Z3A37,Z,False,False,False
37+4 semanas,1,1,1,Z3A37,Z,False,False,False
37.4 semanas,1,1,1,Z3A37,Z,False,False,False
38,1,1,1,Z3A38,Z,False,False,False
38 +6 semanas,1,1,1,Z3A38,Z,False,False,False
38 sem,1,1,1,Z3A38,Z,False,False,False
38 semanas,1,1,1,Z3A38,Z,False,False,False
38 w,1,1,1,Z3A38,Z,False,False,False
38+0 semanas,1,1,1,Z3A38,Z,False,False,False
38+1 semanas,1,1,1,Z3A38,Z,False,False,False
38+2 semanas,1,1,1,Z3A38,Z,False,False,False
38+3semanas,1,1,1,Z3A38,Z,False,False,False
38+5 semanas,1,1,1,Z3A38,Z,False,False,False
38+6 semanas,1,1,1,Z3A38,Z,False,False,False
38.4 semanas,1,1,1,Z3A38,Z,False,False,False
39,1,1,1,Z3A39,Z,False,False,False
39 + 5 semanas,1,1,1,Z3A39,Z,False,False,False
39 sem,1,1,1,Z3A39,Z,False,False,False
39+0 semanas,1,1,1,Z3A39,Z,False,False,False
39+0 semans,1,1,1,Z3A39,Z,False,False,False
39+1semanas,1,1,1,Z3A39,Z,False,False,False
39+2 semanas,1,1,1,Z3A39,Z,False,False,False
39+3 semanas,1,1,1,Z3A39,Z,False,False,False
39+4 semanas,1,1,1,Z3A39,Z,False,False,False
39+5 sem,1,1,1,Z3A39,Z,False,False,False
39+6 semanas,1,1,1,Z3A39,Z,False,False,False
39.2 semanas,1,1,1,Z3A39,Z,False,False,False
39.6 semanas,1,1,1,Z3A39,Z,False,False,False
3CCHH,1,1,1,9904,9,False,False,False
40 + 0 SG,1,1,1,Z3A40,Z,False,False,False
40 + 1 sg,1,1,1,Z3A40,Z,False,False,False
40 + 2,1,1,1,Z3A40,Z,False,False,False
40 + 2 semanas,1,1,1,Z3A40,Z,False,False,False
40 + 3 semana,1,1,1,Z3A40,Z,False,False,False
40 + 3 semanas,1,1,1,Z3A40,Z,False,False,False
40 + 6,1,1,1,Z3A40,Z,False,False,False
40 + 6 semanas,1,1,1,Z3A40,Z,False,False,False
40 +1 semana,1,1,1,Z3A40,Z,False,False,False
40 +1 semanas,1,1,1,Z3A40,Z,False,False,False
40 +1 setmanes,1,1,1,Z3A40,Z,False,False,False
40 +1 sg,1,1,1,Z3A40,Z,False,False,False
40 +1semanas,1,1,1,Z3A40,Z,False,False,False
40 +2 semanas,1,1,1,Z3A40,Z,False,False,False
40 +3 SG,1,1,1,Z3A40,Z,False,False,False
40 +3 semanas,1,1,1,Z3A40,Z,False,False,False
40 +3 sg,1,1,1,Z3A40,Z,False,False,False
40 +4 SG,1,1,1,Z3A40,Z,False,False,False
40 +4 semanas,1,1,1,Z3A40,Z,False,False,False
40 +4 setmanes,1,1,1,Z3A40,Z,False,False,False
40 +4 sg,1,1,1,Z3A40,Z,False,False,False
40 +5 SG,1,1,1,Z3A40,Z,False,False,False
40 +5 semana,1,1,1,Z3A40,Z,False,False,False
40 +6 semanas,1,1,1,Z3A40,Z,False,False,False
40 +6 semans,1,1,1,Z3A40,Z,False,False,False
40 .+2 semanas,1,1,1,Z3A40,Z,False,False,False
40 .1 semanas,1,1,1,Z3A40,Z,False,False,False
40 .2 semanas,1,1,1,Z3A40,Z,False,False,False
40 .5 semanas,1,1,1,Z3A40,Z,False,False,False
40 .6 sem,1,1,1,Z3A40,Z,False,False,False
40 SEM,1,1,1,Z3A40,Z,False,False,False
40 part,1,1,1,O480,O,False,False,False
40 parto,1,1,1,O480,O,False,False,False
40 partos,1,1,1,O480,O,False,False,False
40 rn,1,1,1,P0821,P,False,False,False
40 sem,1,1,1,Z3A40,Z,False,False,False
40 semanas,1,1,1,Z3A40,Z,False,False,False
40 semnas,1,1,1,Z3A40,Z,False,False,False
40 setmanes,1,1,1,Z3A40,Z,False,False,False
40 sg,1,1,1,Z3A40,Z,False,False,False
40+0 SG,1,1,1,Z3A40,Z,False,False,False
40+0 semanas,1,1,1,Z3A40,Z,False,False,False
40+1 SEMANAS,1,1,1,Z3A40,Z,False,False,False
40+1 SG,1,1,1,Z3A40,Z,False,False,False
40+1 sem,1,1,1,Z3A40,Z,False,False,False
40+1 setmanes,1,1,1,Z3A40,Z,False,False,False
40+1 sg,1,1,1,Z3A40,Z,False,False,False
40+2 SEMANAS,1,1,1,Z3A40,Z,False,False,False
40+2 sem,1,1,1,Z3A40,Z,False,False,False
40+2 semanas,1,1,1,Z3A40,Z,False,False,False
40+3 SEMANAS,1,1,1,Z3A40,Z,False,False,False
40+3 sem,1,1,1,Z3A40,Z,False,False,False
40+3 semanas,1,1,1,Z3A40,Z,False,False,False
40+3 sg,1,1,1,Z3A40,Z,False,False,False
40+4 semanas,1,1,1,Z3A40,Z,False,False,False
40+4sg,1,1,1,Z3A40,Z,False,False,False
40+5 SEMANAS,1,1,1,Z3A40,Z,False,False,False
40+5 SG,1,1,1,Z3A40,Z,False,False,False
40+5 sem,1,1,1,Z3A40,Z,False,False,False
40+5 semanas,1,1,1,Z3A40,Z,False,False,False
40+6 semanas,1,1,1,Z3A40,Z,False,False,False
"40,2 setmanes",1,1,1,Z3A40,Z,False,False,False
"40,6 setmanes",1,1,1,Z3A40,Z,False,False,False
40.1 semanas,1,1,1,Z3A40,Z,False,False,False
40.3,1,1,1,O480,O,False,False,False
40.3 semanas,1,1,1,Z3A40,Z,False,False,False
40.6 sem,1,1,1,Z3A40,Z,False,False,False
4004,1,1,1,65941,6,False,False,False
40SG,1,1,1,Z3A40,Z,False,False,False
40sg,1,1,1,Z3A40,Z,False,False,False
41 + 1,1,1,1,O480,O,False,False,False
41 + 1 sg,1,1,1,Z3A41,Z,False,False,False
41 +0 semanas,1,1,1,Z3A41,Z,False,False,False
41 +1 sg,1,1,1,Z3A41,Z,False,False,False
41 +2 semanas,1,1,1,Z3A41,Z,False,False,False
41 +2 sg,1,1,1,Z3A41,Z,False,False,False
41 +3,1,1,1,O480,O,False,False,False
41 +3 semanas,1,1,1,Z3A41,Z,False,False,False
41 +4 SG,1,1,1,Z3A41,Z,False,False,False
41 .0 semanas,1,1,1,Z3A41,Z,False,False,False
41 .1 setmanes,1,1,1,Z3A41,Z,False,False,False
41 .3 semanas,1,1,1,Z3A41,Z,False,False,False
41 SEM,1,1,1,Z3A41,Z,False,False,False
41 SEMANAS,1,1,1,Z3A41,Z,False,False,False
41 SG,1,1,1,Z3A41,Z,False,False,False
41 semanas,1,1,1,Z3A41,Z,False,False,False
41 semanas cumplidas,1,1,1,O480,O,False,False,False
41+0 semanas,1,1,1,Z3A41,Z,False,False,False
41+1,1,1,1,O480,O,False,False,False
41+1 semanas,1,1,1,Z3A41,Z,False,False,False
41+2 SEMANAS,1,1,1,Z3A41,Z,False,False,False
41+2 SG,1,1,1,Z3A41,Z,False,False,False
41+2 sg,1,1,1,Z3A41,Z,False,False,False
41+3 semanas,1,1,1,Z3A41,Z,False,False,False
41+3 sg,1,1,1,Z3A41,Z,False,False,False
41+4 semanas,1,1,1,Z3A41,Z,False,False,False
41+5 semanas,1,1,1,Z3A41,Z,False,False,False
412,1,1,1,I252,I,False,False,False
43 semanas,1,1,1,Z3A49,Z,False,False,False
437.0,1,1,1,I672,I,False,False,False
440.0,1,1,1,I700,I,False,False,False
441.2,1,1,1,I712,I,False,False,False
516.31,1,1,1,J84112,J,False,False,False
569.49,1,1,1,K6289,K,False,False,False
57.22,1,1,1,0WQFXZZ,0,False,False,False
576.8,1,1,1,K838,K,False,False,False
584.5,1,1,1,N170,N,False,False,False
591,1,1,1,N1330,N,False,False,False
593.89,1,1,1,N2889,N,False,False,False
596.89,1,1,1,N3289,N,False,False,False
612.1,1,1,1,N651,N,False,False,False
617.5,1,1,1,N805,N,False,False,False
621.8,1,1,1,N858,N,False,False,False
621.9,1,1,1,N859,N,False,False,False
646.21,1,1,1,O26833,O,False,False,False
64631,1,1,1,O2623,O,False,False,False
655.01,1,1,1,O350XX0,O,False,False,False
655.11,1,1,1,O351XX0,O,False,False,False
655.71,1,1,1,O368130,O,False,False,False
655.81,1,1,1,O358XX0,O,False,False,False
655.83,1,1,1,65583,6,False,False,False
65511,1,1,1,O351XX0,O,False,False,False
65581,1,1,1,O358XX0,O,False,False,False
656.41,1,1,1,O364XX0,O,False,False,False
656.61,1,1,1,O3663X0,O,False,False,False
65661,1,1,1,O3663X0,O,False,False,False
659.61,1,1,1,O09523,O,False,False,False
65941,1,1,1,O0943,O,False,False,False
771.89,1,1,1,P398,P,False,False,False
77189,1,1,1,P398,P,False,False,False
779.89,1,1,1,P9689,P,False,False,False
783.3,1,1,1,R633,R,False,False,False
790.4,1,1,1,R740,R,False,False,False
790.7,1,1,1,R7881,R,False,False,False
790.92,1,1,1,R791,R,False,False,False
850.0,1,1,1,S060X0A,S,False,False,False
8838,1,1,1,8838,8,False,False,False
9 sem,1,1,1,Z3A09,Z,False,False,False
9 semanas,1,1,1,Z3A09,Z,False,False,False
: 0 Negativo,1,1,1,Z6741,Z,False,False,False
: 0 Rh POSITIVO,1,1,1,Z6740,Z,False,False,False
: 0 negatiu,1,1,1,Z6741,Z,False,False,False
: 0 negativo,1,1,1,Z6741,Z,False,False,False
: 0 negativo.,1,1,1,Z6741,Z,False,False,False
: 0 pos,1,1,1,Z6740,Z,False,False,False
: 0 positiu,1,1,1,Z6740,Z,False,False,False
: 40 + 2,1,1,1,Z3A40,Z,False,False,False
: 40 + 3 SG,1,1,1,Z3A40,Z,False,False,False
: 40 semanas,1,1,1,Z3A40,Z,False,False,False
: 40+1 SG,1,1,1,Z3A40,Z,False,False,False
: 40+2,1,1,1,Z3A40,Z,False,False,False
: 40+6,1,1,1,Z3A40,Z,False,False,False
: 41+1,1,1,1,O480,O,False,False,False
: A NEGATIVO,1,1,1,Z6711,Z,False,False,False
: A Negativo,1,1,1,Z6711,Z,False,False,False
: A Positivo,1,1,1,Z6710,Z,False,False,False
: A Rh +,1,1,1,Z6710,Z,False,False,False
: A Rh negativo,1,1,1,Z6711,Z,False,False,False
: A Rh: negativo,1,1,1,Z6711,Z,False,False,False
: A negativo,1,1,1,Z6711,Z,False,False,False
: A negativo.,1,1,1,Z6711,Z,False,False,False
: A pos,1,1,1,Z6710,Z,False,False,False
: A pos (,1,1,1,Z6710,Z,False,False,False
": A, Rh: Negativo",1,1,1,Z6711,Z,False,False,False
: B POSITIVO,1,1,1,Z6720,Z,False,False,False
: B Rh negativo,1,1,1,Z6721,Z,False,False,False
: B negativo,1,1,1,Z6721,Z,False,False,False
: B positiu,1,1,1,Z6720,Z,False,False,False
: B rh negativo,1,1,1,Z6721,Z,False,False,False
: B+,1,1,1,Z6720,Z,False,False,False
: BCBA,1,1,1,O30043,O,False,False,False
: Desgarro I,1,1,1,O700,O,False,False,False
: E. coli.,1,1,1,B9620,B,False,False,False
: E.Coli,1,1,1,B9620,B,False,False,False
: E.coli,1,1,1,B9620,B,False,False,False
: Ex fumadora,1,1,1,Z87891,Z,False,False,False
: Ex-fumadora,1,1,1,Z87891,Z,False,False,False
: III plano OA,1,1,1,O631,O,False,False,False
: III plano OIDA,1,1,1,O631,O,False,False,False
: III plano OIIA,1,1,1,O631,O,False,False,False
: III plano OP,1,1,1,O631,O,False,False,False
: O NEGATIVO,1,1,1,Z6741,Z,False,False,False
: O neg,1,1,1,Z6741,Z,False,False,False
: O negativo,1,1,1,Z6741,Z,False,False,False
: O postivo,1,1,1,Z6740,Z,False,False,False
: O+,1,1,1,Z6740,Z,False,False,False
": O, Rh: NEGATIVO",1,1,1,Z6741,Z,False,False,False
: Vejiga hiperactiva,1,1,1,N3281,N,False,False,False
: ex-Fumadora,1,1,1,Z87891,Z,False,False,False
:40. sg. -,1,1,1,Z3A40,Z,False,False,False
:A Positivo,1,1,1,Z6710,Z,False,False,False
:A negativo,1,1,1,Z6711,Z,False,False,False
:B Positivo,1,1,1,Z6720,Z,False,False,False
:B positivo,1,1,1,Z6720,Z,False,False,False
<font><font>Alimentaria intoxicación</font></font>,1,1,1,0059,0,False,False,False
"??? , color: teñido",1,1,1,O770,O,False,False,False
A NEGATIVO,1,1,1,Z6711,Z,False,False,False
A Negativo,1,1,1,Z6711,Z,False,False,False
A POS,1,1,1,Z6710,Z,False,False,False
A Positivo,1,1,1,Z6710,Z,False,False,False
A Rh NEGATIVO,1,1,1,Z6711,Z,False,False,False
A neg,1,1,1,Z6711,Z,False,False,False
A negativo,1,1,1,Z6711,Z,False,False,False
A pos,1,1,1,Z6710,Z,False,False,False
A positiu,1,1,1,Z6710,Z,False,False,False
A positiv,1,1,1,Z6710,Z,False,False,False
A positivo,1,1,1,Z6710,Z,False,False,False
A positivo.,1,1,1,Z6710,Z,False,False,False
A rh negativo,1,1,1,Z6711,Z,False,False,False
"A, Rh: negativo",1,1,1,Z6711,Z,False,False,False
A09,1,1,1,A09,A,False,False,False
AB,1,1,1,6561,6,False,False,False
AB NEGATIVO,1,1,1,Z6731,Z,False,False,False
AB rh positivo,1,1,1,Z6730,Z,False,False,False
ABOROTO DIFERIDO,1,1,1,O021,O,False,False,False
ABORTO DIFERIDO,1,1,1,632,6,False,False,False
ABSCESO DE BARTHOLINO,1,1,1,N751,N,False,False,False
ABSCESO DE MAMA IZQUIERDA,1,1,1,N611,N,False,False,False
ABSCESO DE MAMA Y PEZON,1,1,1,N611,N,False,False,False
ABSCESO MAMA DERECHA,1,1,1,N611,N,False,False,False
ABSCESO PÉLVICO CRÓNICO,1,1,1,N731,N,False,False,False
ABSCESO VULVA,1,1,1,6164,6,False,False,False
AC XFA,1,1,1,42731,4,False,False,False
ACCIDENT,1,1,1,X58XXXA,X,False,False,False
ACFA,1,1,1,I4891,I,False,False,False
ACIDOSIS METABÓLICA,1,1,1,E872,E,False,False,False
ADC endometrio,1,1,1,C541,C,False,False,False
ADENOAMIGDALECTOMIA,1,1,1,0CTQXZZ,0,False,False,False
ADENOAMIGDALITIS CRONICA,1,1,1,J3503,J,False,False,False
ADENOCARCINOMA,1,1,1,81403,8,False,False,False
ADENOCARCINOMA ACINAR,1,1,1,85503,8,False,False,False
ADENOCARCINOMA DE ENDOCERVIX,1,1,1,C530,C,False,False,False
ADENOCARCINOMA DE ENDOMETRIO,1,1,1,C541,C,False,False,False
ADENOCARCINOMA ENDOMETRIAL,1,1,1,C541,C,False,False,False
ADENOCARCINOMA ENDOMETRIAL DE TIPO ENDOMETRIOIDE,1,1,1,83803,8,False,False,False
ADENOIDECTOMÍA,1,1,1,0CTQXZZ,0,False,False,False
ADENOMA PARATIROIDEO,1,1,1,D351,D,False,False,False
ADK colon,1,1,1,1539,1,False,False,False
ADK de ovario,1,1,1,1830,1,False,False,False
ADK próstata,1,1,1,185,1,False,False,False
ADK sigma,1,1,1,C187,C,False,False,False
ADO,1,1,1,Z7984,Z,False,False,False
AFLOJAMIENTO PTR IZQDA,1,1,1,T84033A,T,False,False,False
AISLAMIENTO,1,1,1,8E0ZXY6,8,False,False,False
AL.LÈRGIES Esparadrap,1,1,1,Z91048,Z,False,False,False
AL.LÈRGIES PENICILINA,1,1,1,V140,V,False,False,False
AL.LÈRGIES Penicil·lines,1,1,1,Z880,Z,False,False,False
AL.LÈRGIES aas,1,1,1,Z886,Z,False,False,False
ALERGIA : AMOXICILINA,1,1,1,V140,V,False,False,False
ALERGIA A AAS,1,1,1,Z886,Z,False,False,False
ALERGIA A ALIMENTOS,1,1,1,Z91018,Z,False,False,False
ALERGIA A ASPIRINA,1,1,1,Z886,Z,False,False,False
ALERGIA A BETALACTAMICOS,1,1,1,Z880,Z,False,False,False
ALERGIA A LA CODEINA,1,1,1,V146,V,False,False,False
ALERGIA A LA PENICILINA,1,1,1,V140,V,False,False,False
ALERGIA A LACTOSA,1,1,1,Z91011,Z,False,False,False
ALERGIA A METALES,1,1,1,Z91048,Z,False,False,False
ALERGIA A METAMIZOL,1,1,1,Z886,Z,False,False,False
ALERGIA A NOLOTIL,1,1,1,V146,V,False,False,False
ALERGIA A PENICILINA,1,1,1,V140,V,False,False,False
ALERGIA A PENICILINAS,1,1,1,Z880,Z,False,False,False
ALERGIA A PIRAZOLONAS,1,1,1,Z886,Z,False,False,False
ALERGIA A SULFAMIDAS,1,1,1,Z882,Z,False,False,False
ALERGIA ACAROS,1,1,1,Z91038,Z,False,False,False
ALERGIA AINEs,1,1,1,Z886,Z,False,False,False
ALERGIA AL ESPARADRAPO,1,1,1,Z9109,Z,False,False,False
ALERGIA AL LATEX,1,1,1,Z91040,Z,False,False,False
ALERGIA AL LÁTEX,1,1,1,Z91040,Z,False,False,False
ALERGIA ASPIRINA,1,1,1,Z886,Z,False,False,False
ALERGIA Gramineas,1,1,1,Z91048,Z,False,False,False
ALERGIA Gramíneas,1,1,1,Z91048,Z,False,False,False
ALERGIA IBUPROFENO,1,1,1,Z886,Z,False,False,False
ALERGIA METAMIZOL,1,1,1,Z886,Z,False,False,False
ALERGIA Marisco,1,1,1,Z91013,Z,False,False,False
ALERGIA NIQUEL,1,1,1,Z91048,Z,False,False,False
ALERGIA NOLOTIL,1,1,1,V146,V,False,False,False
ALERGIA NÍQUEL,1,1,1,Z91048,Z,False,False,False
ALERGIA Níquel,1,1,1,Z91048,Z,False,False,False
ALERGIA PENICILINA,1,1,1,V140,V,False,False,False
ALERGIA SULFAMIDAS,1,1,1,Z882,Z,False,False,False
ALERGIA aCAROS,1,1,1,Z91038,Z,False,False,False
ALERGIA analgesico,1,1,1,Z886,Z,False,False,False
ALERGIA metal,1,1,1,Z91048,Z,False,False,False
ALERGIA niquel,1,1,1,Z91048,Z,False,False,False
ALERGIA Ácaros,1,1,1,Z91038,Z,False,False,False
ALERGIA: PENICILINA,1,1,1,V140,V,False,False,False
ALERGIAS A ESTREPTOMICINA,1,1,1,V141,V,False,False,False
ALERGIAS Quinolonas,1,1,1,Z881,Z,False,False,False
ALERGIAS sulfamidas,1,1,1,V142,V,False,False,False
ALERGIAS: (Ac. Clavulánico,1,1,1,Z881,Z,False,False,False
ALERGIAS: AAS,1,1,1,Z886,Z,False,False,False
ALERGIAS: AINES,1,1,1,Z886,Z,False,False,False
"ALERGIAS: AINES,",1,1,1,Z886,Z,False,False,False
ALERGIAS: Betalactámicos,1,1,1,Z881,Z,False,False,False
ALERGIAS: Cefalosporinas,1,1,1,Z881,Z,False,False,False
ALERGIAS: Claritromicina,1,1,1,Z881,Z,False,False,False
ALERGIAS: Ibuprofeno,1,1,1,Z886,Z,False,False,False
ALERGIAS: MELOCOTÓN,1,1,1,Z91018,Z,False,False,False
ALERGIAS: NIQUEL,1,1,1,Z91048,Z,False,False,False
ALERGIAS: PARACETAMOL,1,1,1,Z886,Z,False,False,False
ALERGIAS: PIRAZOLONAS,1,1,1,Z886,Z,False,False,False
ALERGIAS: Penicilina,1,1,1,Z880,Z,False,False,False
ALERGIAS: Pirazolonas,1,1,1,Z886,Z,False,False,False
ALERGIAS: QUINOLONAS,1,1,1,Z881,Z,False,False,False
ALERGIAS: SULFAMIDAS,1,1,1,Z882,Z,False,False,False
ALERGIAS: Sulfamidas,1,1,1,Z882,Z,False,False,False
ALERGIAS:Metamizol,1,1,1,V146,V,False,False,False
ALERGICA A LA CODEINA,1,1,1,V146,V,False,False,False
ALERGICA A PENICILINA,1,1,1,Z880,Z,False,False,False
ALERGICA AAS,1,1,1,Z886,Z,False,False,False
ALERGICA AL LÁTEX,1,1,1,Z91040,Z,False,False,False
ALERGICA AL NOLOTIL,1,1,1,Z886,Z,False,False,False
ALLERGIES alimenticias,1,1,1,Z91018,Z,False,False,False
ALTERACIÓ DEL COMPORTAMENT,1,1,1,F919,F,False,False,False
ALTERACIÓN DE LA COAGULACIÓN,1,1,1,2869,2,False,False,False
ALergia penicilina,1,1,1,Z880,Z,False,False,False
ALÉRGICA A CODEÍNA,1,1,1,Z886,Z,False,False,False
ALÉRGICA A LIDOCAINA,1,1,1,Z884,Z,False,False,False
ALÉRGICA A PENICILINA,1,1,1,Z880,Z,False,False,False
ALÉRGICO A LA PENICILINA,1,1,1,V140,V,False,False,False
ALÉRGICO A NOLOTIL,1,1,1,Z886,Z,False,False,False
AMC: AAS,1,1,1,Z886,Z,False,False,False
AMENAZA DE PARTO PRETÉRMINO,1,1,1,O6003,O,False,False,False
AMIGDALECTOMIA,1,1,1,0CTPXZZ,0,False,False,False
AMO tíbia,1,1,1,7867,7,False,False,False
ANALGÉSICO,1,1,1,3E033NZ,3,False,False,False
ANEMIA,1,1,1,D649,D,False,False,False
ANEMIA AGUDa,1,1,1,2851,2,False,False,False
ANEMIA FERROPÉNICA,1,1,1,D509,D,False,False,False
ANEMIA HEMORRÁGICA,1,1,1,D62,D,False,False,False
ANEMIA MIXTA,1,1,1,D649,D,False,False,False
ANEMIA NORMOCÍTICA HIPOCROMICA,1,1,1,D509,D,False,False,False
ANEMIA POST-QUIRÚRGICA,1,1,1,D62,D,False,False,False
ANEMIA POSTOPERATORIA,1,1,1,D62,D,False,False,False
ANEMIA PP,1,1,1,O9081,O,False,False,False
ANEMIA SANG,1,1,1,2851,2,False,False,False
ANEMIA hierro,1,1,1,2809,2,False,False,False
ANEMIA puerperal,1,1,1,64824,6,False,False,False
ANEMIZANTE,1,1,1,D62,D,False,False,False
ANEURISMA ARTERIA ESPLÉNICA,1,1,1,I728,I,False,False,False
ANEXECTOMIA BILATERAL,1,1,1,0UT20ZZ,0,False,False,False
ANEXECTOMIA BILATERAL LAP,1,1,1,0UT24ZZ,0,False,False,False
ANEXECTOMIA BILATERAL LAPAROSCÓPICA,1,1,1,0UT74ZZ,0,False,False,False
ANEXECTOMIA BILATERAL POR LAPAROSCOPIA,1,1,1,0UT24ZZ,0,False,False,False
ANEXECTOMIA BILATERAL PROFILACTICA,1,1,1,Z4002,Z,False,False,False
ANEXECTOMIA BILATERAL PROFILÁCTICA,1,1,1,Z4002,Z,False,False,False
ANEXECTOMIA DERECHA lap,1,1,1,0UT04ZZ,0,False,False,False
ANEXECTOMÍA BILATERAL,1,1,1,0UT20ZZ,0,False,False,False
ANEXECTOMÍA BILATERAL LAP,1,1,1,0UT24ZZ,0,False,False,False
ANEXECTOMÍA BILATERAL LAPAROSCÓPICA,1,1,1,0UT24ZZ,0,False,False,False
ANEXECTOMÍA BILATERAL lap,1,1,1,0UT74ZZ,0,False,False,False
ANEXECTOMÍA DERECHA,1,1,1,0UT50ZZ,0,False,False,False
ANEXECTOMÍA DERECHA Lap,1,1,1,0UT04ZZ,0,False,False,False
ANEXECTOMÍA DERECHA lap,1,1,1,0UT04ZZ,0,False,False,False
ANEXECTOMÍA IZQUIERDA LAPAROSCÓPICA,1,1,1,0UB94ZZ,0,False,False,False
ANEXECTOMÍA IZQUIERDA lap,1,1,1,0UT64ZZ,0,False,False,False
ANEXECTOMíA BILATERAL,1,1,1,0UT70ZZ,0,False,False,False
ANEXECTOmIA,1,1,1,V4577,V,False,False,False
ANGINA DE ESFUERZO,1,1,1,I208,I,False,False,False
ANSIEDAD,1,1,1,F419,F,False,False,False
ANSIETAT,1,1,1,F419,F,False,False,False
ANSIETAT ANTEPART,1,1,1,64843,6,False,False,False
ANTI D,1,1,1,3E0234Z,3,False,False,False
ANTI D jose,1,1,1,O26893,O,False,False,False
ANTI-D,1,1,1,3E0234Z,3,False,False,False
ANTIBIOTERAPIA,1,1,1,3E03329,3,False,False,False
ANTIBIOTERAPIA INTRAVENOSA,1,1,1,3E03329,3,False,False,False
ANTIBIOTERAPIA IV,1,1,1,3E03329,3,False,False,False
ANTIBIÓTICO,1,1,1,3E03329,3,False,False,False
ANTICOAGULACIÓN,1,1,1,Z7901,Z,False,False,False
ANTICOAGULANT,1,1,1,Z7901,Z,False,False,False
APENDICECTOMIA,1,1,1,0DTJ0ZZ,0,False,False,False
APENDICECTOMÍA,1,1,1,0DTJ0ZZ,0,False,False,False
APENDICECTOMÍA lap,1,1,1,0DTJ4ZZ,0,False,False,False
APENDICITIS AGUDA,1,1,1,K3580,K,False,False,False
APENDICITIS AGUDA PERFORADA,1,1,1,K3532,K,False,False,False
APGAR,1,1,1,4A1HXCZ,4,False,False,False
APGAr,1,1,1,4A1HXCZ,4,False,False,False
APLV,1,1,1,Z91011,Z,False,False,False
APNEA DE LA PREMATURIDAD,1,1,1,P284,P,False,False,False
APNEA rn,1,1,1,P284,P,False,False,False
APP,1,1,1,O6003,O,False,False,False
APP 2,1,1,1,O6002,O,False,False,False
APp,1,1,1,64403,6,False,False,False
AR,1,1,1,M059,M,False,False,False
ARTRITIS,1,1,1,M1990,M,False,False,False
ASCITIS MALIGNA,1,1,1,78951,7,False,False,False
ASMA,1,1,1,J45909,J,False,False,False
ASMA part,1,1,1,J45909,J,False,False,False
ASMA parto,1,1,1,O9952,O,False,False,False
ASÍMETRIA FACIAL congenita,1,1,1,7540,7,False,False,False
ATELECTASIA,1,1,1,J9811,J,False,False,False
ATEROESCLEROSIS. (CLAUDICACION,1,1,1,I70213,I,False,False,False
ATONIA UTERINA,1,1,1,O721,O,False,False,False
ATROFIA RENAL DERECHA,1,1,1,N261,N,False,False,False
ATROFIA RENAL IZQUIERDA,1,1,1,N261,N,False,False,False
ATb,1,1,1,9921,9,False,False,False
AVC h,1,1,1,V1254,V,False,False,False
AVORTAMENT,1,1,1,63490,6,False,False,False
Abceso perianal,1,1,1,K610,K,False,False,False
Abceso qx,1,1,1,99859,9,False,False,False
