dataset,Literal_required_clean,token_len
train,covid parto,4
train,Cefalea,3
train,Alergica a la PENICILINA,8
train,Tos crónica,4
train,Cesárea anterior anteparto,6
train,colegio,3
train,bypass gástrico laparoscópico,5
train,adenopatía subcarinal,6
train,Deterioro cognitivo grave,5
train,hemangioma en L4,6
train,DM2 parto,5
train,Covid part,4
train,foliculo ovario,5
train,Cardiopatía isquémica,4
train,ca mama UCe,6
train,neoplàsia d'ovari,10
train,ileo paralítico qx,8
train,aborto,3
train,Ecografia Abdominal,5
train,vessament pleural,6
train,Quistes corticales,4
train,Mioma uterino,5
train,RCIU,5
train,Folículo hemorrágico,5
train,ptc,4
train,Ecografía abdominopélvica,6
train,: 40+1 SG,8
train,broncoespasme,5
train,conjuntivitis vírica,4
train,Alérgica a: AINES,7
train,Tx bipulmonar,5
train,BIRDHH,5
train,Hpv,5
train,gammapatia monoclonal,5
train,linfadenectomía axilar izquierdas,5
train,quistectomia ovario izq,6
train,Convulsions febrils,7
train,oxigenoterapia,3
train,Hipospadias,6
train,paralisis facial,5
train,D69.3,6
train,bocio multinodular,5
train,aborto en curso con metrorragia,7
train,sueroterápia,6
train,hipotiroidismo part,4
train,Adenoma de próstata grado II,8
train,40.3 semanas,6
train,a negativo,4
train,ITUs de repetició,7
train,artritis reumatoide,4
train,hta irc,6
train,infeccion catéter diálisis,5
train,Síndrome ansioso depresiva parto,6
train,A positivo.,5
train,Miopía part,5
train,: A pos,6
train,emesis gravídica,7
train,Adiro,3
train,TC cranial,5
train,Grupo 0 negativo,5
train,A09,4
train,GSRH : O +,8
train,Mastectomía mama derecha,6
train,color: sangui,6
train,Histeroscopía Quirúrgica,6
train,bactermia,4
train,IC,3
train,pam,4
train,Proctitis,4
train,Anexectomía bilateral lap,8
train,M1 hepáticas,5
train,orquiectomia,5
train,Gestación no controlada,6
train,Hipotiroidismo Congénito,5
train,Proteinuria,4
train,Absceso perianal,4
train,endometriosis intestinal,4
train,1 vaso,4
train,Epilepsa temporal,7
train,FACO+LIO UD,7
train,Anemia posparto,4
train,Hernioplastia inguinal derecha con malla,9
train,Rinoscopia,5
train,Metástasis axilar,4
train,mastectomia izquierda,5
train,intolerancia a la lactosa parto,7
train,Hernia inguinal,4
train,pretermino,5
train,gonalgia izquierda,5
train,Sangrado postparto,4
train,reducción fetal,4
train,anexectomía bilateral laparoscópica,6
train,Coronariografía,4
train,Neumonia COVID parto,5
train,Rx de tórax y abdomen,7
train,hemocromatosis,4
train,hidronefrosis parto,4
train,LEGRADO ENDOCERVICAL,10
train,metrotrexate IM aborto,6
train,Pneumonia necrotizante,5
train,epiléptica,3
train,esclerosis múltiple,4
train,artritis séptica de rodilla,6
train,nefrectomía radical izquierda abierta,6
train,obesidad mórbida part,5
train,restrenyiment,6
train,HTP,3
train,metástasis,3
train,biopsia peritoneo,4
train,diverticulosis parto,5
train,FRACTURA dIÁFISIS CUBITO IZQUIERDO,13
train,mioma intramural,5
train,insuficiencia venosa parto,5
train,Prótesis de rodilla izq,6
train,GESTACIÓN NO EVOLUTIVA,8
train,"D M tipo 2,",7
train,implantes mamarios,4
train,deficit proteina S parto,6
train,epilepsia parto,4
train,dismenorrea,3
train,Hidrocefalia,4
train,Biopsia hepática,4
train,Asma parto,4
train,CISTOPROSTATECTOMÍA RADICAL lap,15
train,ar,3
train,Rubeola no inmune,7
train,deprivación alcohol,4
train,TR adaptativo depresiva,5
train,ex-fumadora,5
train,atonia uterina posparto,6
train,fibroadenoma mAMA DER,7
train,Quist branquial,6
train,Doble annexectomia,7
train,hipotiroidsimo 2t,8
train,adhesiolisis,5
train,insuficiencia respiratoria crónica agudizada,7
train,Adenoma,4
train,RTU vesical,4
train,catarata od,4
train,Chron,4
train,Preeclampsia leve,5
train,discapacidad intelectual,4
train,Biòpsia selectiva de gangli sentinella,11
train,hematoma vaginal posparto,5
train,Uter polimiomatos,7
train,GASTROSCOPIA,6
train,podalica anteparto,7
train,hipotiroidismo 3t,5
train,Hernia de hiato. -,7
train,aspergilosis broncopulmonar alérgica,5
train,40 + 0 SG,6
train,broncospasmo,4
train,VHC parto,4
train,Alcohol parto,4
train,MTX GANGLIO AXILAR,9
train,FAVi,4
train,Comunicació interauricular,6
train,HoLEP,5
train,Enfermedad cerebrovascular crónica,5
train,Tc abdominal,4
train,leucocitosis part,4
train,Eco abdominopélvica,6
train,metrorragia posparto,4
train,histerectomía vaginal,4
train,Disqueratosis congénita,5
train,ca mama CSE izq,7
train,cardioversión eléctrica,4
train,Mioma IM,5
train,GsRH: O+,8
train,anemia part,4
train,ITUS derepetición,7
train,histerectomía total,4
train,hemocultivo positivos,4
train,desgarro IIIB,5
train,Legrado Avortament,7
train,Coagulopatía,4
train,ADENOIDECTOMÍA,7
train,Distocia de hombros,7
train,prostaglandinas,3
train,K59.09,6
train,Doppler renal,4
train,Tce,4
train,laceracion periuretral,6
train,bulla,4
train,silla de ruedas,5
train,Sondaje vesical,5
train,caiguda,5
train,Cardiopatía Isquémica,5
train,Anemia normocítica,5
train,Sondaje vesical permanente,6
train,Hipotiroidismo parto,4
train,TRANSEXUALISMO,8
train,TC Craneal,5
train,Pielonefritis del injerto,6
train,Carcinomas basocelulares región lumbar derecha,11
train,Xoc sèptic,8
train,Trastorno adaptativo mixto,5
train,diu,4
train,Diplopia,5
train,Dehiscencia de episiorrafia,9
train,Miomas uterinos,5
train,Celulitis en EID,5
train,Hernia L5-S1,8
train,Pancitopenia,5
train,oxigen,3
train,litiasis renal,4
train,Adenoamigdalectomía,5
train,Preclampsia leve,6
train,cesárea iterativa,6
train,Polipectomía histeroscópica,6
train,Hernias discales,5
train,GESTACIÓN ECTÓPICA IZQUIERDA,10
train,Cesària,4
train,torsión,3
train,setón,4
train,Alergia: penicilina,5
train,presentación transversa 2,5
train,40 +1 semanas,6
train,cierre de fisura palatina,6
train,Desnutrición severa,5
train,Alergica a:Penicilina,8
train,ADENOCARCINOMA ENDOMETRIAL,9
train,secuela accident,5
train,Ecocadiografía,6
train,Apendicectomia,5
train,NÓDULO TIROIDEO DERECHO,11
train,rhinovirus,5
train,QUISTECTOMÍA OVARIO DERECHO LAPAROSCÓPICA,17
train,Hipertrofia aDENOIDE,7
train,Celiaca parto,5
train,duodeno,3
train,fiebre materna part,5
train,ANEMIA,3
train,sondatge vesical,6
train,Hernia inguinal,4
train,fototerapia,3
train,GSRH O positivo,6
train,Traqueostomía,5
train,Cistectomía,5
train,bloqueo de rama derecho,6
train,Ateromatosis aorto-ilíaca,7
train,ira 2 qx,6
train,FORCEPS,5
train,9 sem,4
train,Acondroplasia,5
train,prolapso mitral parto,5
train,ILE,4
train,Retraso en el lenguaje,6
train,MIOMA INTRaMURAL,8
train,Dislipémia,6
train,Neuralgia del trigemino,8
train,Rx Tórax,4
train,Esteatosis hepática parto,6
train,sutura piel cara,5
train,biopsia gástrica,4
train,CESÁREA,5
train,Infección urinaria,4
train,Alérgico a la penicilina,7
train,catarata oi,5
train,SALPINGECTOMÍA geu izq lap,12
train,Insuficiencia venosa,4
train,NST patológico parto,6
train,Vitíligo,5
train,HIPOTIROÏDISME,9
train,mioma parto,4
train,sgb parto,6
train,Tumorectomía derecha,5
train,Anemia parto,4
train,Septoplastia,5
train,Neutropenia,4
train,Metapneumovirus,7
train,hipotiroidismo part,4
train,Colitis ulcerosa part,5
train,carcioma endometrio,6
train,tumorectomia mama der,6
train,Sd. ansioso,5
train,tumorectomia UQSMD,8
train,Enterococo FAECALIS,8
train,Ex enólico,4
train,Crhon,4
train,Cicatriu inestetica,8
train,Taquipnea,4
train,endometrioma ovario derecho,6
train,Migrañas sin aura part,7
train,35,3
train,Desprendimiento vitrio posterior,8
train,restos aborto,4
train,Aspirado médula ósea,6
train,Adenomioma,5
train,injerto grasa mama izquierda,6
train,Enfermedad celiaca,4
train,ATEROESCLEROSIS. (CLAUDICACION,13
train,Cuerpo extraño esofágico,5
train,Trombocitemia Esencial,7
train,RCTG notranquilizador,9
train,BCBA,4
train,Urticaria facticia,6
train,PLACENTA PREVIA OCLUSIVA TOTAL,11
train,anexectomía derecha lap,7
train,Absces tubo-ovaric,9
train,CE esofágico,4
train,gammaglobulinas,5
train,R68.13,6
train,Desgarro II grado,6
train,hipertiroidisme,6
train,colelitiasis anteparto,5
train,Hernia Discal parto,6
train,gammaglobulina anti-D,7
train,HISTERECTOMÍA ABDOMINAL,7
train,Trastorno depresivo mayor,5
train,Angio TaC pulmonar,6
train,Estimulación,3
train,Neoplasia maligna,4
train,Artritis psoriàsica,6
train,Tto quimioterápico,4
train,Engrosamiento endometrial,4
train,Hemorroides,5
train,Angiomas,4
train,Histerectomía radical,4
train,27 SEMANAS,5
train,linfadenectomía paraaortica,7
train,Anexectomía bilateral profiláctica,7
train,pérdida de bienestar fetal,6
train,Artrosis vertebral,4
train,Alergias ambientales,4
train,Al·lergia: peix,9
train,tm,4
train,Hiperplasia prostática benigna,5
train,PCR SARS CoV2: Negativa,9
train,coagulopatía,3
train,PARKINSON,5
train,bsgc d,7
train,obesidad part,4
train,TC Craneal,5
train,ANTIBIOTERAPIA IV,6
train,hipertensión portal,4
train,. Desgarro I,6
train,Obesidad part,4
train,ECOTv,5
train,Hipoglucemia cetósica,7
train,Apneas de la prematuridad,7
train,IMC 31.,5
train,hipotensión,3
train,ca ovárico,4
train,deshidratacon,5
train,prematuridad 1500,4
train,mcba,5
train,INFECCIÓN DEL TRACTO URINARIO,8
train,Siringomielia,6
train,CI,3
train,PROSTATECTOMÍA RADICAL LAPAROSCÓPICA,17
train,ovariectomía derecha,6
train,extracción manual de placenta,6
train,edema en miembros inferiores,6
train,y protesis,4
train,fimosi,5
train,paraplejia,4
train,EMRR,4
train,CIN IIi,5
train,temblor esencial,4
train,mioma subseroso parto,7
train,Gemelar bicorial biamniotica,10
train,retirada diu,5
train,drenatge transtimpanic,9
train,HTA Pulmonar,4
train,Punción dural posparto,5
train,Enteroccocus faecalis,7
train,CA endometrio,4
train,Afonía,4
train,Glaucoma crónico,4
train,TAQUICARDIA SINUSAL,9
train,INTOLERANCIA DIGESTIVA rn,10
train,Alergia a paracetamol,5
train,sutura nervio,4
train,anexectomía,4
train,retirada de Port-a-Cath,10
train,ITUS DE REPETICIÓN,8
train,NEOPLASIA DE PRÓSTATA,10
train,reconversión a laparotomía,6
train,mtx ganglio pelvicos,8
train,Hipertensió,4
train,Teratoma Ovárico Derecho,7
train,Sd. polimalformativo,8
train,gestación anembrionada,7
train,Apéndices preauriculares,7
train,dermatitis atópica part,5
train,Insuficiencia Mitral parto,6
train,Esferocitosis hereditària parto,9
train,sutura,3
train,lIPOMA,5
train,Ecocardiografía rn,5
train,ileo,4
train,hernioplastia inguinal derecha abierta,8
train,Ferropenia,4
train,da,3
train,polineuropatia diabetica 2,8
train,hta icc irc 3,9
train,hemorroide externo,5
train,síncope,3
train,perdida de peso,5
train,glioma de alto grado,7
train,SAG : +,7
train,Historia de Meniscectomia,7
train,37+2 semanas,6
train,ALERGIA NÍQUEL,7
train,RE: Positivos,6
train,Hidrosalpinx izquierdo,8
train,Cervix corto anteparto,8
train,Parálisis cuerda vocal izquierda,6
train,Grupo: A Rh negativo,7
train,Historia ca mama,5
train,Anemia postoperatoria,4
train,Trasplante pulmonar,4
train,PARTO prematuro,5
train,655.01,6
train,alergia al Kiwi,6
train,Ecografia transfontanel.lar,10
train,Bandolera,4
train,HTP,3
train,Aborto complert,7
train,recién nacido muerto,5
train,mtx pulmon,5
train,Stent,4
train,alergia ambiental,4
train,alergia QUINOLONAS,7
train,Graves,3
train,Migrañas sin aura,6
train,RADIO-YODO :HIPOTIROIDISMO,14
train,Obstrucció esofàgica,8
train,Hipoglicemia dm,6
train,sinusits,4
train,PNA,3
train,fibrosis quistica,5
train,parto pretermino,6
train,RE+++/+++,7
train,chagas part,5
train,Sueroterpia,6
train,Mc Roberts,4
train,rotura prematura de membranas 2,7
train,779.89,6
train,Anemia ferropénica crónica,5
train,Dilatación esofágica,4
train,PCR COVID-19 negativa,7
train,Rx pélvis,6
train,Granuloma hepatico,5
train,IRC,3
train,Eco 3T gemelos,6
train,déficit de Vit. D,7
train,Neurofibromatosis tipo 1 (,8
train,procidencia de mano,7
train,gonalgia bilateral,5
train,adenoamigdalectomia,5
train,Nefropatia IgA,5
train,cáncer de mama,5
train,Taquicardia supraventricular parto,5
train,Dacriocistitis crónica,8
train,Aneurisma de aorta abdominal,6
train,ALERGIA Marisco,5
train,GS: A + (,7
train,Grupo sanguíneo materno: 0 Positivo,8
train,H.Pylori (++).,9
train,Gammaglobulina anti-D,7
train,absceso en mama derecha,6
train,tunel carpiano,4
train,IM it,4
train,sdme de fatiga cronica,7
train,glosodinia,5
train,CSt,4
train,0020 parto,5
train,quistes paratubáricos,8
train,fiebre intradialisis,6
train,ECOTV,4
train,tumoracion,4
train,Colelitiasis parto,5
train,Anemia crónica,4
train,Alergia a PIRAZOLONAS,7
train,Fibrilación auricular,4
train,Alergia: Ciprofloxacino,5
train,SOP part,4
train,Urocultivo POSITIVO,4
train,Gestante de 36 semanas,7
train,E.coli BLEE,6
train,Sd depressiva,6
train,Pielonefritis aguda,5
train,Hiperparatiroidismo,4
train,antibiòtic,5
train,HIPERTENSIÓ INSUFICIÈNCIA RENAL CRÒNICA,16
train,Eccema,5
train,Hipertensió Malaltia renal crònica,9
train,infecció del tracte urinari,9
train,quiste ovari part,6
train,Asma 2t,5
train,anemia sang,5
train,Artritis reumatoide parto,5
train,Monitorización fetal,4
train,PARACENTESIS,6
train,irritabilidad,3
train,Prostatitis aguda,6
train,Disminución de la agudeza visual,7
train,S. pyogenes,5
train,Diabetes,3
train,Orquidopexia bilateral,6
train,Retinopatía hipertensiva,5
train,Hemoptisis,4
train,historia pólipos colon,5
train,Stafilococo epidermidis,6
train,neumopatía intersticial,5
train,neoplasia de ciego,5
train,MIOMAS UTERINOS,8
train,Insuficiencia venosa crónica parto,6
train,ILE) por trisomía 21,8
train,Quistes parapiélicos,6
train,penicilina,3
train,h Fracturas,4
train,OH ocasional,4
train,laringectomía total,5
train,a pOSITIVO,6
train,diabetes gestacional,4
train,hemitiroidectomía,5
train,Tos ferina per bordetella pertussis,8
train,Síndrome vertiginoso,5
train,fractura radio distal izquierdo,6
train,Retención de membranas,6
train,Misofar,5
train,polipo cervix parto,7
train,APENDICITIS AGUDA PERFORADA,10
train,nefrostomías,4
train,tumorectomía der,5
train,linfadenectomia aórtica,5
train,ptr izquierda cementada,8
train,bronquiectasias,3
train,ileostomía,3
train,Dolores torácicos atípicos,5
train,mama fibroquistica,6
train,Adenocarcinima de endometrio,7
train,dolicocolon,5
train,eventración,4
train,Laparoscópia diagnóstica,6
train,Déficit de Vit D,6
train,obesidad puerperal,4
train,diabetes gestacional insulinizada,6
train,atb,4
train,Desgarro IV,5
train,HIPERTROFIA NO ESPECIFICADA DE VULVA,14
train,alteración cognitiva,4
train,Sjögren,3
train,UroTC,4
train,Ecografía escroto,4
train,ABSCESO PÉLVICO CRÓNICO,12
train,Gastrectomía,4
train,HIPERURICEMIA,6
train,NPT,3
train,glomerulonefritis,3
train,V13.02,6
train,Eco obs,4
train,Rx ABD,4
train,absceso periamigdalino,6
train,Rx ABDOMEN,4
train,sindrome de Brugada,5
train,protesis mamaria,4
train,Policitemia,5
train,nódulo tiroideo parto,5
train,estenosis ureteral,4
train,paquipleuritis,6
train,ferida quirúrgica,5
train,Neumonias de repetición,7
train,BLEA,4
train,Rotura Prematura de Membranas,10
train,Colecistitis aguda litiásica,6
train,Vasectomía bilateral,5
train,ALERGIAS A ESTREPTOMICINA,9
train,broncodiltador,5
train,Retraso estatura,4
train,ram,4
train,hipofosforemia,6
train,RESTOS PLACENTARIOS,8
train,Historia de Fumadora,5
train,ecografías cerebral,4
train,sobrepeso parto,4
train,cambio de nefrostomia,6
train,Tratamiento quimioterápico,4
train,antibiòticos,5
train,desgarro vagina,4
train,Anti D,4
train,Pancreatitis aguda,4
train,HTA. ERC icc,7
train,Ecografía hombro der,5
train,Prurito,4
train,SALPINGUECTOMIA BILATERAL,9
train,Trombocitosis,4
train,Obesidad part,4
train,Dlp,5
train,Desgarro III B,6
train,V27.1,6
train,hemangioma hepatica,4
train,Hipotiroidismo postquirurgico,7
train,Histerectomía radical lap,6
train,megacolon parto,5
train,atelectasias,3
train,hernia inguinal izquierda,5
train,fistulectomia piel,6
train,Trombopenia part,5
train,protesis hombro bilateral,5
train,Biopsia de uretra prostática,6
train,Demencia por cuerpos de Lewy,7
train,asma part,4
train,Deficit Proteina S parto,7
train,Grupo sanguineo materno O Rh positivo,9
train,Ecografía abdomen,4
train,Cicatriz,3
train,quiste ovario Derecha,6
train,ascítis maligna,5
train,rao posparto,5
train,VHC positivo,4
train,dexketoprofeno ev,4
train,Broncoespasme,5
train,Pólipos endometriales,6
train,PAPILOMA INTRADUCTAL,8
train,pubertad precoz,4
train,K76.6,6
train,TAC torax,4
train,57.22,5
train,quiste vagina,4
train,Corticoterapia,5
train,Hipotiroidismo parto,4
train,40+1 sem,6
train,NEURÀLGIA DEL TRIGEMIN,11
train,TRASTORNS DEL METABOLISME DE LES LIPOPROTEÏNES,19
train,anexectomía derecha,5
train,SGB +,5
train,masculino,3
train,sangrado postquirúrgico,4
train,GRUP: O +,6
train,gastrografín,5
train,617.1,6
train,HTA ERC 3,5
train,celíaca parto,4
train,corticoideo,3
train,Doble anexectomia laparocopia,7
train,abceso de bartholino,9
train,Asma bronquial,4
train,Micosis bucal,5
train,recien nacida,4
train,ACxFA,5
train,bipolar depresiva,4
train,ANSIETAT ANTEPART,8
train,PTR BILATERAL,5
train,ADO,3
train,Carcinoma de Endometrio,6
train,desgarro 1,4
train,IRA,3
train,Granulomatosis de Wegener,9
train,40 +1 semana,6
train,Traumatismo craneoencefálico,4
train,Déficit de vit D,6
train,SNG rn,5
train,lupus eritematoso discoide parto,7
train,astenia,3
train,17 sem,4
train,SONDATGE VESICAL,9
train,aplastamientos vertebrales,5
train,Alergia Amoxicilina,4
train,"Grupo sanguíneo: A, Rh: positivo",10
train,Miocardiopatía dilatada,4
train,Rx tórax,4
train,Anemia part,4
train,EXFUMADORA,6
train,Hemorroides externas,6
train,hematometra,5
train,Ansiedad parto,4
train,portador de VDVP,6
train,sdme ansioso-depresivo parto,8
train,Hermana: cáncer de mama,8
train,Meningioma intervenido,6
train,miopia parto,5
train,TELEMETRIA,5
train,transplante,3
train,Hipotiroidismo part,4
train,Pseudomonas aeruginosa,4
train,GS A (+),5
train,Recambio de expansor mama,8
train,Retinoblastoma,5
train,Oclusión intestinal,4
train,Absces vulva,5
train,apendicectomia incidental,6
train,Historia de SARS-COV-2,9
train,inestabilidad,3
train,Infarto agudo de miocardio,6
train,SGB positivo,5
train,forceps episio,5
train,Ca mama izquierda,5
train,hemorroides PUERPERIO,7
train,SPECT cardíaco,4
train,: B+,6
train,etmoidectomía bilateral,6
train,fibromialgia,3
train,STENT farmacoactivo,7
train,Linfoma No Hodgkin,5
train,BSGC,5
train,SALPINGUECTOMÍA geu izq lap,13
train,POP,4
train,Asma 3t,5
train,BCRDHH,5
train,Síndrome prostático,4
train,R42,4
train,Piperacilina,4
train,varices part,4
train,Diverticulos en sigma,6
train,EX-TABAC,6
train,Ca. de mama izquierda,7
train,ferro,3
train,part,3
train,: B negativo,6
train,bolsa rota,4
train,tráfico,3
train,Rinosinusitis crónica,7
train,Madre Ca mama,5
train,ANEXECTOMIA IZQUIERDA POR LAPAROSCOPIA,13
train,Hiperplasia suprarrenal congenita,7
train,Hernia lumbar,4
train,Taquicardia,3
train,LARINGOSCOPIA,7
train,Hipotiroidismo primario autoinmune,5
train,Migrañas sin aura part,7
train,PET TC,4
train,duplicidad renal,5
train,cannabis parto,4
train,Tr. adaptativo part,6
train,amputacion dedo mano derecha,8
train,S. mitis,6
train,DM-1,5
train,Escoliosis parto,5
train,Rivaroxaban,6
train,hipotiroidismo puerperio,4
train,569.49,6
train,disminución del nivel de conciencia,7
train,D. Mellitus,5
train,laparoscopica,5
train,Omeprazol,3
train,Leucemia mieloide aguda en remision,9
train,parto pretérmino,4
train,oligoamnios,5
train,INSULINA,4
train,Alergia PARACETAMOL,4
train,prótesis mamarias,4
train,TVP anteparto,5
train,Hallux valgus derecho,7
train,parálisis de Bell,5
train,ANTICOAGULANT,4
train,0000,4
train,STENT FARMACOACTIVO,9
train,intolerancia a la lactosa,6
train,DISLIPEMIA,6
train,ltb,5
train,Zika part,4
train,Insuficiencia mitral parto,5
train,paracentesis,3
train,CDI de mama izquierda,6
train,Bronquiolitis aguda VRS positiva,7
train,imc 53,5
train,anhidramnios anteparto,8
train,Diabetes Mellitus,4
train,historia familiar cáncer de mama,7
train,adenoamigdalectomia,5
train,historia neo mama,5
train,blee,4
train,vasculitis pulmonar,4
train,Aftas orales,5
train,Alergia a codeina,6
train,hipertensión crónica part,5
train,"Hipertensión arterial Enfermedad renal crónica, estadio 3",10
train,SINOVITIS RODILLA DERECHA,9
train,Telemetría,4
train,Covid : Positiva,7
train,ALergia penicilina,6
train,Carcinoma renal izquierdo,5
train,anèmia 2t,6
train,Linfadenectomía pèlvica,9
train,biopsia cervix,5
train,celiaquía,3
train,GS. O+.,6
train,hipoalbuminemia,3
train,fórceps episio,5
train,historia ictus,4
train,ltb,5
train,Alergia BETADINE,6
train,Diabtes,4
train,Artropatía degenerativa,5
train,intolerancia lactosa,4
train,neo incierta,4
train,bicorial - biamniótico,9
train,cardiopatia congenita,7
train,Cuadro catarral,4
train,IMC 38,4
train,Diabetes Mellitus tipo II,6
train,Asma parto,4
train,Grip,4
train,SAHS grave,4
train,melenas,3
train,GS: A negativo,6
train,Sondaje uretral,5
train,RCIU anteparto,7
train,Metrorragia menopausa,6
train,Stent,4
train,cesarea anterior,5
train,mtx ganglio cuello,6
train,Historia de Tiroidectomía,6
train,plaquetas,3
train,Hèrnia incisional,7
train,anexectomia bilateral lap,7
train,HERNIA HIATAL,7
train,hta ICC,5
train,LIQUIDO TEÑIDO,6
train,Atrèsia anal,6
train,cistitis,3
train,041.19,6
train,IM,3
train,pancreatitis aguda,4
train,pirosis,3
train,INCONTINENCIA URINARIA POST-PR,11
train,reducción mam,4
train,POLINEUROPATIA EN DIABETIS,11
train,mastopatia fibroquistica,7
train,induccion médica,5
train,Intolerancia a la lactosa parto,7
train,METÁSTASIS ganglio axilar,8
train,distocia rotacion,7
train,TC tòrax,5
train,anemización,3
train,COLOCACIÓN DE NEFROSTOMÍA DERECHA,11
train,Vólvulo de sigma,7
train,Adenoidectomía,4
train,carcinoma ductal infiltrante,5
train,HTA insuficiencia cardiaca,5
train,Anemia 2t,5
train,C64.2,6
train,41 .0 semanas,6
train,TAQUICARDIA FETAL rn,10
train,linfocele,4
train,Anexectomía izquierda laparoscopia,7
train,asma 3t,5
train,Coxartrosis derecha,5
train,Apgar5,4
train,Bronquiolitis aguda vrs rn,9
train,vómitos biliosos,5
train,Metatarsalgia pie derecho,7
train,EGB,4
train,historia ulcus duodenal,6
train,gestación gemelar anteparto,6
train,TAC Craneal,5
train,Alergia a Norfloxacino,6
train,Hipertrofia adenoidea e hipertrofia amigdalar,8
train,RMN craneal,4
train,EVISCERACIÓN,7
train,EMLD,4
train,GS: A+.,6
train,Exbebedor,5
train,gea Rotavirus,6
train,desgarro 2,4
train,AngioTC abd,4
train,cesáreas anteriores,4
train,asma parto,4
train,portadora de colostomía,5
train,Hemocromatosis,4
train,Extabaquismo,5
train,Alergia a Ibuprofeno,5
train,J96.00,6
train,hta IRC icc,7
train,oxigenoterapia crónica domiciliaria,5
train,dermatitis pruriginosa,6
train,FA,3
train,Estenosis carotídea bilateral,5
train,esteatosis,3
train,Hernia Discal L5-S1 parto,11
train,mioma subseroso,6
train,dolor abdomina,5
train,quiste hepàtica,5
train,distocia social,6
train,RE positivos,4
train,Nefrectomia derecha,6
train,Quistectomía ovario derecho,6
train,Ansiedad parto,4
train,Leucemia aguda mieloblàstica,8
train,catarata OD,4
train,mtx ganglio pelvic,7
train,DG en tratamiento con insulina,7
train,fístula vésico-vaginal,7
train,OXITOCINA,6
train,endometriosis parto,4
train,hiponatremia,3
train,Hidronefrosi congenita,9
train,Puerperi,5
train,AFLOJAMIENTO PTR IZQDA,11
train,traqueostomía,3
train,Intoxicación etílica,4
train,quiste ovarica,6
train,hernia hiatus parto,6
train,Ecografía obst,5
train,metrorragia post menopausica,7
train,Rituximab,4
train,PTC derecha,5
train,40 SEM,4
train,ANTI D jose,6
train,gestación gemelar bicorial-biamniótica,11
train,apendicitis agud,5
train,hemicolectomía,5
train,aborto diferido,4
train,Prótesis ródilla,6
train,hernia discal L5-S1,9
train,RAFI femur,6
train,40sg,5
train,RUBEOLA NEGATIVO,7
train,Hermana ca mama,6
train,Rafi radio derecho,6
train,Insuficiencia mitral moderada,5
train,stent farmacoactivo,5
train,antibiotic,3
train,Litiasis parotidea,6
train,hernioplastia inguinal izquierda malla,8
train,Historia de quimioterapia,5
train,exprematur,6
train,cesarea anterior,5
train,Invaginación intestinal,6
train,Hipertrofia adenoamigdalar,6
train,fistula oroantral,6
train,Canalización de vía perférica,8
train,Migraña PARTO,5
train,Laringitis aguda,5
train,enfermedad coronaria de un vaso,7
train,traqueostomia,4
train,lesión condral rodilla derecha,7
train,revisio traqueostomia,6
train,GRUPO SANGUINEO MATERNO 0 rh positivo,11
train,intolerancia hidratos de carbono parto,7
train,Pielonefritis crónica,5
train,punción dural posparto,5
train,Esclerosis Multiple parto,5
train,EPICONDILITIS,8
train,RE: POSITIVOS (+++ / +++),12
train,mola hidatiforme,7
train,Eco renal,4
train,Ascitis,4
train,disforia de género,6
train,356.2,5
train,esplenectomía laparoscópica,4
train,legrado,4
train,ev,3
train,enf puerperal,4
train,Intervención de meniscos,6
train,queratosis seborreica pigmentada,6
train,Ecografía testiculos,6
train,RPbF,5
train,sgb positivo,6
train,Ex prematur,5
train,adherencias parto,4
train,hepatocarcinoma,3
train,Anemización secundaria a pérdidas digestivas,8
train,Enol ocasional,5
train,insuficiencia pancreática,4
train,cirugía bariátrica parto,5
train,POP total,5
train,Dolicocefalia,5
train,Ecografía abdomen,4
train,B negativo,4
train,a.e,5
train,Esofagogastroduodenoscòpia,10
train,Grupo sanguineo materno AB +,8
train,nefrostomia bilateral,5
train,biopsia de GC,5
train,SUTURA vaginal,5
train,PLACENTA PREVIA hemorragia,8
train,GS A RH +,6
train,LEGRADO,5
train,bicorial biamniótica,8
train,hosp+,5
train,Orquidopexia derecha,6
train,AL.LÈRGIES PENICILINA,11
train,ABSCESO MAMA DERECHA,8
train,Insuficiencia cardíaca,4
train,"Grupo sanguíneo: O, Rh: negativo",10
train,presentación fetal transversa,5
train,hipertrofia amigdalar,4
train,APP 2,4
train,Artritis reumatoide part,5
train,Insuficiència cardíaca congestiva,7
train,33+3 semanas,6
train,hta icc,6
train,Divertículo duodenal,5
train,Tr. adaptativo part,6
train,hipotiroidismo autoinmune,4
train,Hernias discales LUMBAR,7
train,hernia discal L5-S1,9
train,UQe,5
train,HTA irc icc,7
train,ANEXECTOMÍA DERECHA Lap,9
train,TC cervical,4
train,IRA 2,4
train,SGB+ 2,6
train,Quistes pancreáticos,4
train,Tabaquismo part,4
train,HTA,3
train,eutiroidea,5
train,hipertiroidismo part,4
train,COVID historia,4
train,VMNI,3
train,Mioclonies,6
train,Transplante renal,5
train,prtoesis mama,6
train,APLV,4
train,Blee,4
train,ca MAMA IZQUIERDA,6
train,HIPOTIROIDISMO 3t,9
train,Enfermedad Renal Crónica,5
train,obesidad parto,4
train,Cistografía,5
train,Metrorragias,6
train,Insuficiencia renal crónica reagudizada,8
train,resección intestinal,4
train,ateromatosis cerebral,4
train,historia Tuberculosis pulmonar,5
